year,estratopri,aoj21,colseg,ur,q1,q2,m1,trust,pr5,ideologia
2021.0,Oriental,,,,,46.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,55.0,Negativa,,,Izquierda
2021.0,Oriental,,,,,18.0,,,,
2021.0,Atlántica,Crimen organizado,Peor,,,37.0,Neutra,,,Centro derecha
2021.0,Central,Delincuentes comunes,Peor,,,64.0,Neutra,,,
2021.0,Bogotá,,,,,37.0,,,,
2021.0,Central,,,,,40.0,,,,
2021.0,Central,,,,,46.0,,,,
2021.0,Oriental,,,,,36.0,,,,
2021.0,Central,Ninguno,Peor,,,43.0,Negativa,,,
2021.0,Bogotá,,,,,74.0,,,,
2021.0,Oriental,,,,,31.0,,,,
2021.0,Oriental,Crimen organizado,Peor,,,48.0,Neutra,,,Centro derecha
2021.0,Bogotá,Delincuentes comunes,Peor,,,43.0,Neutra,,,Centro derecha
2021.0,Central,,,,,40.0,,,,
2021.0,Amazonia,,,,,30.0,,,,
2021.0,Central,,,,,26.0,,,,
2021.0,Oriental,Crimen organizado,Peor,,,39.0,Positiva,,,Derecha
2021.0,Central,,,,,23.0,,,,
2021.0,Central,Delincuentes comunes,Peor,,,39.0,Positiva,,,Izquierda
2021.0,Central,Guerrillas,Peor,,,48.0,Positiva,,,Derecha
2021.0,Oriental,Delincuentes comunes,Igual,,,52.0,Neutra,,,
2021.0,Oriental,,,,,26.0,,,,
2021.0,Oriental,Delincuentes comunes,Igual,,,38.0,Positiva,,,
2021.0,Oriental,,,,,50.0,,,,
2021.0,Central,,,,,28.0,,,,
2021.0,Oriental,,,,,23.0,,,,
2021.0,Amazonia,Delincuentes comunes,Peor,,,45.0,Neutra,,,
2021.0,Atlántica,Crimen organizado,Igual,,,28.0,Neutra,,,
2021.0,Oriental,,,,,20.0,,,,
2021.0,Atlántica,,,,,41.0,,,,
2021.0,Central,Delincuentes comunes,Igual,,,47.0,Neutra,,,Derecha
2021.0,Pacífica,Delincuentes comunes,Peor,,,30.0,Neutra,,,Centro derecha
2021.0,Oriental,Crimen organizado,Igual,,,58.0,Neutra,,,Derecha
2021.0,Oriental,Crimen organizado,Igual,,,33.0,Positiva,,,Derecha
2021.0,Amazonia,Guerrillas,Peor,,,37.0,Neutra,,,Derecha
2021.0,Pacífica,,,,,26.0,,,,
2021.0,Amazonia,,,,,38.0,,,,
2021.0,Bogotá,,,,,25.0,,,,
2021.0,Bogotá,Delincuentes comunes,Peor,,,33.0,Negativa,,,Centro izquierda
2021.0,Bogotá,,,,,58.0,,,,
2021.0,Atlántica,Delincuentes comunes,Peor,,,32.0,Neutra,,,Izquierda
2021.0,Oriental,,,,,66.0,,,,
2021.0,Bogotá,,,,,29.0,,,,
2021.0,Bogotá,Ninguno,Peor,,,30.0,Negativa,,,Centro derecha
2021.0,Central,Delincuentes comunes,Igual,,,69.0,Positiva,,,Derecha
2021.0,Atlántica,,,,,57.0,,,,
2021.0,Pacífica,,,,,54.0,,,,
2021.0,Oriental,Crimen organizado,Peor,,,55.0,Negativa,,,Centro derecha
2021.0,Oriental,Delincuentes comunes,Peor,,,31.0,Neutra,,,
2021.0,Central,Delincuentes comunes,Peor,,,29.0,Negativa,,,Centro
2021.0,Atlántica,,,,,60.0,,,,
